id,K1,K2,K3,K4,K5
22_6,0.95216,0.00001,0.00001,0.00001,0.04781
22_5,0.98585,0.00001,0.00001,0.00001,0.01412
21_1,0.99996,0.00001,0.00001,0.00001,0.00001
21_4,0.99996,0.00001,0.00001,0.00001,0.00001
21_8,0.99996,0.00001,0.00001,0.00001,0.00001
21_7,0.99996,0.00001,0.00001,0.00001,0.00001
21_6,0.99996,0.00001,0.00001,0.00001,0.00001
21_2,0.99996,0.00001,0.00001,0.00001,0.00001
21_3,0.99996,0.00001,0.00001,0.00001,0.00001
20_1,0.99740,0.00001,0.00001,0.00257,0.00001
20_2,0.99996,0.00001,0.00001,0.00001,0.00001
20_3,0.98948,0.00001,0.00001,0.00001,0.01049
2_4,0.99996,0.00001,0.00001,0.00001,0.00001
2_1,0.95759,0.00001,0.00001,0.00001,0.04238
2_2,0.97492,0.00001,0.00001,0.00001,0.02505
2_3,0.98491,0.00001,0.00001,0.00001,0.01506
2_6,0.87259,0.00001,0.00001,0.00001,0.12738
2_5,0.99520,0.00001,0.00001,0.00001,0.00477
2_7,0.94892,0.00001,0.00001,0.00001,0.05105
196_1,0.99996,0.00001,0.00001,0.00001,0.00001
196_2,0.99996,0.00001,0.00001,0.00001,0.00001
196_3,0.99996,0.00001,0.00001,0.00001,0.00001
196_4,0.99996,0.00001,0.00001,0.00001,0.00001
195_2,0.83832,0.00001,0.00001,0.00001,0.16165
195_1,0.98445,0.00001,0.00001,0.00001,0.01552
195_3,0.89586,0.00001,0.00001,0.00001,0.10411
194_1,0.98047,0.00001,0.00001,0.00001,0.01950
194_2,0.95534,0.00001,0.00001,0.00001,0.04463
194_4,0.99182,0.00001,0.00079,0.00001,0.00737
194_3,0.97118,0.00001,0.00001,0.00001,0.02880
193_1,0.99662,0.00001,0.00001,0.00335,0.00001
193_2,0.98932,0.00001,0.00001,0.00001,0.01065
193_4,0.94385,0.00001,0.00001,0.00001,0.05612
193_3,0.99572,0.00001,0.00001,0.00001,0.00425
192_2,0.99996,0.00001,0.00001,0.00001,0.00001
192_1,0.89283,0.00001,0.00001,0.00001,0.10714
192_4,0.96554,0.00001,0.00001,0.00001,0.03443
192_3,0.92450,0.00001,0.00078,0.00001,0.07470
191_1,0.80091,0.00001,0.00001,0.00001,0.19906
191_2,0.99862,0.00001,0.00001,0.00135,0.00001
191_4,0.85145,0.00001,0.00001,0.00001,0.14852
191_3,0.92023,0.00001,0.00188,0.00001,0.07787
190_1,0.99996,0.00001,0.00001,0.00001,0.00001
190_2,0.98629,0.00001,0.00001,0.00001,0.01368
190_4,0.99448,0.00001,0.00428,0.00001,0.00122
190_3,0.99955,0.00001,0.00001,0.00001,0.00042
19_1,0.99174,0.00001,0.00823,0.00001,0.00001
19_2,0.99996,0.00001,0.00001,0.00001,0.00001
19_3,0.99996,0.00001,0.00001,0.00001,0.00001
19_4,0.98541,0.00001,0.01456,0.00001,0.00001
189_1,0.99072,0.00001,0.00652,0.00001,0.00273
189_2,0.95684,0.01267,0.00001,0.00001,0.03047
189_3,0.93753,0.05022,0.00001,0.00001,0.01223
189_4,0.99861,0.00001,0.00001,0.00001,0.00136
188_1,0.98223,0.00001,0.01774,0.00001,0.00001
188_2,0.93737,0.00001,0.00001,0.00001,0.06260
188_3,0.97169,0.00001,0.00001,0.00001,0.02828
187_1,0.94139,0.00001,0.00951,0.00001,0.04908
187_2,0.99996,0.00001,0.00001,0.00001,0.00001
187_4,0.97304,0.00001,0.00236,0.00001,0.02458
187_3,0.98403,0.01594,0.00001,0.00001,0.00001
186_1,0.99245,0.00001,0.00001,0.00752,0.00001
186_2,0.99996,0.00001,0.00001,0.00001,0.00001
186_3,0.99996,0.00001,0.00001,0.00001,0.00001
186_4,0.97310,0.00001,0.00001,0.00001,0.02687
185_1,0.85222,0.00001,0.00001,0.00001,0.14775
185_2,0.97674,0.00001,0.00001,0.00001,0.02323
185_4,0.93294,0.00001,0.00001,0.00001,0.06703
185_3,0.92990,0.00001,0.00001,0.00001,0.07007
184_2,0.98128,0.00001,0.00001,0.00001,0.01869
184_1,0.91819,0.00001,0.01695,0.00001,0.06484
184_4,0.93617,0.00001,0.00132,0.00001,0.06249
184_3,0.96949,0.00001,0.00954,0.00001,0.02095
183_1,0.99352,0.00001,0.00001,0.00001,0.00645
183_2,0.94019,0.00001,0.00001,0.00001,0.05978
183_3,0.93891,0.00001,0.00001,0.00001,0.06106
183_4,0.80588,0.05980,0.00001,0.00001,0.13430
182_1,0.99091,0.00001,0.00906,0.00001,0.00001
182_2,0.95550,0.00001,0.00001,0.00001,0.04447
182_4,0.97741,0.00001,0.00001,0.00001,0.02256
182_3,0.99177,0.00001,0.00820,0.00001,0.00001
181_2,0.86112,0.00001,0.00001,0.00001,0.13885
181_1,0.99996,0.00001,0.00001,0.00001,0.00001
181_4,0.99996,0.00001,0.00001,0.00001,0.00001
181_3,0.91464,0.00001,0.00001,0.00241,0.08293
180_2,0.95190,0.00001,0.00801,0.00001,0.04007
180_1,0.91089,0.00001,0.00001,0.00656,0.08253
18_2,0.99996,0.00001,0.00001,0.00001,0.00001
18_1,0.99541,0.00456,0.00001,0.00001,0.00001
18_3,0.99996,0.00001,0.00001,0.00001,0.00001
179_1,0.99996,0.00001,0.00001,0.00001,0.00001
179_2,0.98781,0.00001,0.00001,0.00001,0.01216
179_4,0.98846,0.00001,0.00001,0.00001,0.01151
179_3,0.99944,0.00001,0.00001,0.00001,0.00053
178_1,0.85760,0.00001,0.00001,0.00001,0.14237
178_2,0.94457,0.00001,0.00001,0.00001,0.05540
178_3,0.92827,0.00001,0.00001,0.00001,0.07170
178_4,0.88797,0.00001,0.00001,0.00001,0.11200
177_1,0.99440,0.00001,0.00557,0.00001,0.00001
177_2,0.91830,0.00001,0.00001,0.00001,0.08167
177_3,0.95791,0.00001,0.00001,0.00001,0.04206
177_4,0.99996,0.00001,0.00001,0.00001,0.00001
176_1,0.85464,0.00001,0.00001,0.00001,0.14533
176_2,0.97810,0.00001,0.00001,0.00001,0.02187
176_4,0.89763,0.00001,0.00001,0.01584,0.08651
176_3,0.87196,0.00001,0.00001,0.00001,0.12801
175_2,0.86264,0.00001,0.00001,0.02752,0.10982
175_3,0.88354,0.00001,0.00001,0.02351,0.09293
175_4,0.90285,0.00001,0.00001,0.00001,0.09712
174_1,0.99591,0.00001,0.00127,0.00001,0.00280
174_2,0.97828,0.00001,0.00001,0.00001,0.02169
174_3,0.97945,0.00001,0.00001,0.00001,0.02052
174_4,0.98058,0.00590,0.00001,0.00001,0.01350
173_1,0.99583,0.00001,0.00001,0.00001,0.00414
173_2,0.99996,0.00001,0.00001,0.00001,0.00001
173_4,0.99996,0.00001,0.00001,0.00001,0.00001
173_3,0.99996,0.00001,0.00001,0.00001,0.00001
172_2,0.98079,0.00001,0.00001,0.00001,0.01918
172_1,0.95134,0.00001,0.00001,0.04863,0.00001
172_3,0.99996,0.00001,0.00001,0.00001,0.00001
171_1,0.93321,0.00001,0.00001,0.00001,0.06676
171_2,0.88436,0.00001,0.00001,0.00001,0.11561
171_3,0.79410,0.00001,0.00001,0.00001,0.20587
171_4,0.90596,0.00001,0.00001,0.00340,0.09062
170_1,0.99996,0.00001,0.00001,0.00001,0.00001
170_4,0.99996,0.00001,0.00001,0.00001,0.00001
170_3,0.99996,0.00001,0.00001,0.00001,0.00001
17_1,0.99996,0.00001,0.00001,0.00001,0.00001
17_2,0.99164,0.00001,0.00001,0.00001,0.00833
17_5,0.99996,0.00001,0.00001,0.00001,0.00001
17_4,0.99996,0.00001,0.00001,0.00001,0.00001
17_3,0.98310,0.00001,0.00001,0.00001,0.01687
169_1,0.98090,0.00001,0.00762,0.00001,0.01146
169_2,0.95729,0.00001,0.00001,0.00001,0.04268
169_3,0.96397,0.00001,0.00001,0.00001,0.03600
169_4,0.92372,0.00001,0.00001,0.00001,0.07625
168_1,0.99996,0.00001,0.00001,0.00001,0.00001
168_2,0.98976,0.00001,0.00202,0.00820,0.00001
168_4,0.98949,0.00001,0.00001,0.00001,0.01048
168_3,0.99516,0.00001,0.00001,0.00481,0.00001
167_1,0.95742,0.00001,0.00001,0.00869,0.03386
167_2,0.92065,0.00001,0.00001,0.02096,0.05837
167_4,0.94177,0.00001,0.00001,0.02563,0.03258
167_3,0.98107,0.00001,0.00001,0.00001,0.01890
166_1,0.98655,0.00001,0.00001,0.00001,0.01342
166_2,0.96545,0.00001,0.00001,0.00001,0.03452
166_5,0.97878,0.02119,0.00001,0.00001,0.00001
166_4,0.95199,0.00001,0.00001,0.02499,0.02300
166_3,0.88987,0.00001,0.00001,0.07369,0.03642
165_1,0.97192,0.00001,0.00001,0.00001,0.02805
165_2,0.99996,0.00001,0.00001,0.00001,0.00001
165_4,0.99696,0.00001,0.00001,0.00001,0.00301
165_3,0.99629,0.00001,0.00001,0.00001,0.00368
164_2,0.92158,0.00001,0.00001,0.00001,0.07840
164_1,0.86042,0.00001,0.00001,0.00001,0.13955
164_4,0.90293,0.00001,0.00001,0.00001,0.09704
164_3,0.87342,0.00001,0.00001,0.00001,0.12655
163_1,0.97465,0.00001,0.00001,0.02532,0.00001
163_2,0.97493,0.00001,0.00001,0.00716,0.01789
163_4,0.97783,0.00001,0.00001,0.00001,0.02214
163_3,0.99632,0.00001,0.00365,0.00001,0.00001
162_1,0.93063,0.00001,0.00001,0.00001,0.06934
162_2,0.63177,0.00001,0.00001,0.00001,0.36820
162_4,0.75552,0.00001,0.00001,0.00001,0.24445
162_3,0.84233,0.00001,0.00001,0.00001,0.15764
161_1,0.95970,0.00001,0.00001,0.00001,0.04027
161_2,0.98194,0.00001,0.00001,0.01803,0.00001
161_3,0.99055,0.00001,0.00001,0.00001,0.00942
161_4,0.99051,0.00001,0.00001,0.00001,0.00946
160_1,0.97470,0.00001,0.00077,0.00001,0.02451
160_2,0.94771,0.00001,0.00001,0.00391,0.04836
160_3,0.97028,0.00001,0.00001,0.00853,0.02117
160_4,0.94603,0.00001,0.00001,0.00001,0.05394
16_2,0.96048,0.00001,0.00001,0.00001,0.03949
16_1,0.99996,0.00001,0.00001,0.00001,0.00001
159_1,0.93826,0.00001,0.00001,0.00001,0.06171
159_2,0.80886,0.00001,0.00001,0.00001,0.19111
